Company,Type,Inches,CPU,Generation,RAM,Memory,GPU,OS,Weight,Price
Acer,Ultrabook,14,Core i5,1,8GB,500GB HDD,Intel,Windows 10,2kg,1650000
Thinkpad,Workstation,14,Core i5,1,4GB,320GB HDD,Intel,Windows 10,2kg,1600000
Hp,Workstation,14,Core i5,2,8GB,750GB HDD,AMD,Windows 10,2kg,1800000
Lenovo,Ultrabook,14,Core i5,8,16GB,128GB SSD + 1000GB HDD,Intel + Nvidia,Windows 11,2kg,4000000
Hp,Ultrabook,15,Core i7,7,16GB,128GB SSD + 1000GB HDD,Intel + Nvidia,Windows 11,3kg,4000000
Lenovo,Ultrabook,14,Ryzen 3,3,8GB,512GB SSD,AMD,Windows 10,2kg,3000000
Acer,Ultrabook,14,Core i5,8,8GB,256GB SSD,Intel,Windows 11,2kg,3000000
Alienware,Gaming,15,Core i7,8,16GB,256GB SSD + 1000GB HDD,Nvidia GTX,Windows 11,4kg,10000000
Predator ,Gaming,15,Core i7,7,16GB,256GB SSD + 1000GB HDD,Intel + Nvidia GTX,Windows 10,4kg,7500000
Hp,Gaming,15,Core i7,8,16GB,256GB SSD + 1000GB HDD,Intel + Nvidia GTX,Windows 10,4kg,8500000
Asus,Workstation,14,Core i5,1,8GB,128GB SSD,Nvidia,Windows 10,2kg,1800000
Lenovo,Ultrabook,14,Ryzen 5,5,8GB,256GB SSD,AMD,Windows 10,2kg,5500000
Hp,Ultrabook,15,Core i5,5,8GB,256GB SSD,Intel + AMD,Windows 10,2kg,2200000
Acer,Ultrabook,14,Core i5,2,8GB,500GB HDD,Intel + Nvidia,Windows 7,2kg,1750000
Acer,Ultrabook,14,Core i7,4,8GB,256GB SSD,Intel,Windows 10,2kg,2500000
Dell,Ultrabook,14,Core i7,8,8GB,256GB SSD,Intel + AMD,Windows 10,2kg,4500000
Hp,Ultrabook,14,Core i5,8,8GB,240GB SSD,Intel + Nvidia,Windows 11,2kg,4000000
Hp,Workstation,14,Core i7,6,8GB,512GB SSD,Intel + Nvidia,Windows 10,2kg,4500000
Asus,Ultrabook,14,Core i5,8,8GB,128GB SSD,Intel,Windows 10,2kg,3650000
Toshiba,Workstation,14,Core i5,3,8GB,750GB HDD,AMD,Windows 10,2kg,1900000
Lenovo,Workstation,14,Core i5,1,4GB,500GB HDD,Nvidia,Windows 10,2kg,1650000
Acer,Ultrabook,14,Core i5,3,8GB,128GB SSD,Intel + Nvidia,Windows 10,2kg,2000000
Lenovo,Ultrabook,14,Core i7,5,8GB,500GB HDD,AMD,Windows 10,2kg,4000000
Toshiba,Workstation,14,Core i5,1,4GB,500GB HDD,AMD,Windows 7,2kg,1500000
Asus,Workstation,14,Core i7,2,4GB,750GB HDD,Intel + Nvidia,Windows 10,2kg,2000000
Acer,Ultrabook,14,Core i5,10,8GB,1000GB HDD,Intel,Windows 11,2kg,4300000
Toshiba,Ultrabook,14,Core i5,6,8GB,500GB HDD,Intel,Windows 10,2kg,2500000
Toshiba,Ultrabook,14,Core i5,5,8GB,256GB SSD,Intel,Windows 10,2kg,2400000
Acer,Ultrabook,14,Core i5,11,16GB,512GB SSD,Intel,Windows 11,2kg,5500000
Asus,Ultrabook,14,Core i7,7,8GB,256GB SSD,Intel + Nvidia,Windows 11,2kg,5000000
Asus,Ultrabook,14,Core i7,11,16GB,512GB SSD,Intel + Nvidia,Windows 11,2kg,8300000
Acer,Ultrabook,14,Core i7,8,8GB,512GB SSD,Intel + Nvidia,Windows 11,2kg,6500000
Hp,Ultrabook,14,Core i5,8,8GB,256GB SSD,Intel + AMD,Windows 11,2kg,3800000
Lenovo,2 in 1,14,Core i7,8,8GB,512GB SSD,Intel,Windows 11,2kg,4200000
Hp,Ultrabook,14,Core i5,8,8GB,512GB SSD,Intel,Windows 11,2kg,4000000
Dell,Gaming,14,Core i7,9,8GB,256GB SSD,Intel + Nvidia GTX,Windows 11,2kg,9500000
Thinkpad,Workstation,14,Core i5,10,8GB,256GB SSD,Intel,Windows 11,2kg,4200000
Asus,Ultrabook,14,Core i7,5,8GB,256GB SSD,Intel + Nvidia,Windows 10,2kg,3100000
Thinkpad,Workstation,14,Core i5,8,8GB,256GB SSD,Intel,Windows 11,2kg,3250000
Asus,Ultrabook,14,Core i7,8,8GB,256GB SSD,Intel,Windows 11,2kg,4150000
Asus,Workstation,14,Core i5,8,8GB,256GB SSD,Intel + Nvidia,Windows 11,2kg,4500000
Lenovo,Gaming,14,Core i7,4,8GB,256GB SSD,Intel + Nvidia GTX,Windows 10,2kg,4000000
Lenovo,Gaming,14,Core i7,7,8GB,256GB SSD,Intel + Nvidia GTX,Windows 10,3kg,5800000
